startloc,weight,workload,trace,group
542,0.12945,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-542B.champsimtrace.xz,gaps
154,0.122977,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-154B.champsimtrace.xz,gaps
29,0.116505,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-29B.champsimtrace.xz,gaps
223,0.118123,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-223B.champsimtrace.xz,gaps
469,0.208738,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-469B.champsimtrace.xz,gaps
128,0.221683,bfs.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.kron-128B.champsimtrace.xz,gaps
600,0.680782,pr.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.road-600B.champsimtrace.xz,gaps
138,0.232899,pr.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.road-138B.champsimtrace.xz,gaps
28,0.0602606,pr.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.road-28B.champsimtrace.xz,gaps
3381,0.176567,sssp.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.urand-3381B.champsimtrace.xz,gaps
4669,0.547761,sssp.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.urand-4669B.champsimtrace.xz,gaps
4819,0.0610448,sssp.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.urand-4819B.champsimtrace.xz,gaps
5252,0.0902985,sssp.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.urand-5252B.champsimtrace.xz,gaps
3988,0.0622388,sssp.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.urand-3988B.champsimtrace.xz,gaps
75,0.0679612,xs.XL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100unionized-75B.champsimtrace.xz,gaps
66,0.213592,xs.XL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100unionized-66B.champsimtrace.xz,gaps
28,0.475728,xs.XL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100unionized-28B.champsimtrace.xz,gaps
56,0.116505,xs.XL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100unionized-56B.champsimtrace.xz,gaps
7,0.0839041,xs.XL64nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64nuclide-7B.champsimtrace.xz,gaps
355,0.907534,xs.XL64nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64nuclide-355B.champsimtrace.xz,gaps
15,0.11236,cc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.twitter-15B.champsimtrace.xz,gaps
